Source: ACS 1-Year Estimates Public Use Microdata Sample 2021
Weight used: PWGTP
"Universe: selected geographies: Cook County (North)--Maine,..., Cook County (West)--Leyden,..., Chicago City (North)--Edgew..., Chicago City (North)--Lake ..., Chicago City (North)--West ..., Chicago City (Northwest)--I..., Chicago City (Northwest)--P..., Chicago City (West)--Austin..., Chicago City (Northwest)--L..., Chicago City (West)--North ..., Chicago City (West)--West T..., Chicago City (Central)--Nea..., Chicago City (Southwest)--B..., Chicago City (Southwest)--G..., Chicago City (South)--Chica..., Chicago City (South)--South..., Chicago City (South)--Ashbu..., Chicago City (South)--Aubur..., Chicago City (South)--South..., Midwest Region, Illinois"
"Selected Geographies","Total person's income (signed, use ADJINC to adjust to constant dollars)"
"Midwest Region","31840"
"Illinois","35069"
"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park PUMA; Illinois","38055"
"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA; Illinois","28986"
"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois","41472"
"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois","79500"
"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois","41708"
"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois","40706"
"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois","32151"
"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois","17986"
"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois","43670"
"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois","15609"
"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois","65555"
"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois","100707"
"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois","21781"
"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois","23282"
"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois","15583"
"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois","28583"
"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois","29696"
"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois","20562"
"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois","17348"
